persona_id,age_group_name,country,date,state,staying_days,prev_state
5,25_to_64,Angola,2021-04-03,H,0,H
6,25_to_64,Angola,2021-04-03,H,0,H
7,25_to_64,Angola,2021-04-03,I,2,I
8,25_to_64,Angola,2021-04-03,I,1,I
9,25_to_64,Angola,2021-04-03,I,1,I
0,less_5,Angola,2021-04-04,H,0,H
1,less_5,Angola,2021-04-04,H,0,H
2,less_5,Angola,2021-04-04,H,0,H
3,less_5,Angola,2021-04-04,H,0,H
4,less_5,Angola,2021-04-04,H,0,H
0,5_to_14,Angola,2021-04-04,H,0,H
1,5_to_14,Angola,2021-04-04,H,0,H
2,5_to_14,Angola,2021-04-04,H,0,H
3,5_to_14,Angola,2021-04-04,I,0,H
4,5_to_14,Angola,2021-04-04,H,0,H
5,5_to_14,Angola,2021-04-04,H,0,H
6,5_to_14,Angola,2021-04-04,I,2,I
7,5_to_14,Angola,2021-04-04,I,3,I
8,5_to_14,Angola,2021-04-04,H,0,H
0,15_to_24,Angola,2021-04-04,I,0,H
1,15_to_24,Angola,2021-04-04,H,0,H
2,15_to_24,Angola,2021-04-04,I,2,I
3,15_to_24,Angola,2021-04-04,H,0,H
4,15_to_24,Angola,2021-04-04,I,0,H
5,15_to_24,Angola,2021-04-04,I,3,I
0,25_to_64,Angola,2021-04-04,I,1,I
1,25_to_64,Angola,2021-04-04,I,3,I
2,25_to_64,Angola,2021-04-04,I,2,I
3,25_to_64,Angola,2021-04-04,I,0,H
4,25_to_64,Angola,2021-04-04,I,3,I
5,25_to_64,Angola,2021-04-04,H,0,H
6,25_to_64,Angola,2021-04-04,I,0,H
7,25_to_64,Angola,2021-04-04,I,3,I
8,25_to_64,Angola,2021-04-04,I,2,I
9,25_to_64,Angola,2021-04-04,I,2,I
0,less_5,Angola,2021-04-05,H,0,H
1,less_5,Angola,2021-04-05,H,0,H
2,less_5,Angola,2021-04-05,H,0,H
3,less_5,Angola,2021-04-05,H,0,H
4,less_5,Angola,2021-04-05,H,0,H
0,5_to_14,Angola,2021-04-05,H,0,H
1,5_to_14,Angola,2021-04-05,H,0,H
2,5_to_14,Angola,2021-04-05,H,0,H
3,5_to_14,Angola,2021-04-05,I,1,I
4,5_to_14,Angola,2021-04-05,H,0,H
5,5_to_14,Angola,2021-04-05,H,0,H
6,5_to_14,Angola,2021-04-05,I,3,I
7,5_to_14,Angola,2021-04-05,I,4,I
8,5_to_14,Angola,2021-04-05,H,0,H
0,15_to_24,Angola,2021-04-05,I,1,I
1,15_to_24,Angola,2021-04-05,H,0,H
2,15_to_24,Angola,2021-04-05,I,3,I
3,15_to_24,Angola,2021-04-05,H,0,H
4,15_to_24,Angola,2021-04-05,I,1,I
5,15_to_24,Angola,2021-04-05,I,4,I
0,25_to_64,Angola,2021-04-05,I,2,I
1,25_to_64,Angola,2021-04-05,I,4,I
2,25_to_64,Angola,2021-04-05,I,3,I
3,25_to_64,Angola,2021-04-05,I,1,I
4,25_to_64,Angola,2021-04-05,I,4,I
5,25_to_64,Angola,2021-04-05,H,0,H
6,25_to_64,Angola,2021-04-05,I,1,I
7,25_to_64,Angola,2021-04-05,I,4,I
8,25_to_64,Angola,2021-04-05,I,3,I
9,25_to_64,Angola,2021-04-05,I,3,I
0,less_5,Angola,2021-04-06,H,0,H
1,less_5,Angola,2021-04-06,H,0,H
2,less_5,Angola,2021-04-06,H,0,H
3,less_5,Angola,2021-04-06,H,0,H
4,less_5,Angola,2021-04-06,H,0,H
0,5_to_14,Angola,2021-04-06,I,0,H
1,5_to_14,Angola,2021-04-06,H,0,H
2,5_to_14,Angola,2021-04-06,H,0,H
3,5_to_14,Angola,2021-04-06,I,2,I
4,5_to_14,Angola,2021-04-06,H,0,H
5,5_to_14,Angola,2021-04-06,H,0,H
6,5_to_14,Angola,2021-04-06,I,4,I
7,5_to_14,Angola,2021-04-06,M,0,I
8,5_to_14,Angola,2021-04-06,H,0,H
0,15_to_24,Angola,2021-04-06,I,2,I
1,15_to_24,Angola,2021-04-06,H,0,H
2,15_to_24,Angola,2021-04-06,I,4,I
3,15_to_24,Angola,2021-04-06,H,0,H
4,15_to_24,Angola,2021-04-06,I,2,I
5,15_to_24,Angola,2021-04-06,S,0,I
0,25_to_64,Angola,2021-04-06,I,3,I
1,25_to_64,Angola,2021-04-06,S,0,I
2,25_to_64,Angola,2021-04-06,I,4,I
3,25_to_64,Angola,2021-04-06,I,2,I
4,25_to_64,Angola,2021-04-06,S,0,I
5,25_to_64,Angola,2021-04-06,H,0,H
6,25_to_64,Angola,2021-04-06,I,2,I
7,25_to_64,Angola,2021-04-06,M,0,I
8,25_to_64,Angola,2021-04-06,I,4,I
9,25_to_64,Angola,2021-04-06,I,4,I
0,less_5,Angola,2021-04-07,H,0,H
1,less_5,Angola,2021-04-07,I,0,H
2,less_5,Angola,2021-04-07,H,0,H
3,less_5,Angola,2021-04-07,H,0,H
4,less_5,Angola,2021-04-07,H,0,H
0,5_to_14,Angola,2021-04-07,I,1,I
1,5_to_14,Angola,2021-04-07,H,0,H
2,5_to_14,Angola,2021-04-07,H,0,H
3,5_to_14,Angola,2021-04-07,I,3,I
4,5_to_14,Angola,2021-04-07,H,0,H
5,5_to_14,Angola,2021-04-07,H,0,H
6,5_to_14,Angola,2021-04-07,S,0,I
7,5_to_14,Angola,2021-04-07,M,1,M
8,5_to_14,Angola,2021-04-07,H,0,H
0,15_to_24,Angola,2021-04-07,I,3,I
1,15_to_24,Angola,2021-04-07,I,0,H
2,15_to_24,Angola,2021-04-07,S,0,I
3,15_to_24,Angola,2021-04-07,H,0,H
4,15_to_24,Angola,2021-04-07,I,3,I
5,15_to_24,Angola,2021-04-07,S,1,S
0,25_to_64,Angola,2021-04-07,I,4,I
1,25_to_64,Angola,2021-04-07,S,1,S
2,25_to_64,Angola,2021-04-07,M,0,I
3,25_to_64,Angola,2021-04-07,I,3,I
4,25_to_64,Angola,2021-04-07,S,1,S
5,25_to_64,Angola,2021-04-07,H,0,H
6,25_to_64,Angola,2021-04-07,I,3,I
7,25_to_64,Angola,2021-04-07,M,1,M
8,25_to_64,Angola,2021-04-07,M,0,I
9,25_to_64,Angola,2021-04-07,M,0,I
0,less_5,Angola,2021-04-08,H,0,H
1,less_5,Angola,2021-04-08,I,1,I
2,less_5,Angola,2021-04-08,H,0,H
3,less_5,Angola,2021-04-08,H,0,H
4,less_5,Angola,2021-04-08,H,0,H
0,5_to_14,Angola,2021-04-08,I,2,I
1,5_to_14,Angola,2021-04-08,H,0,H
2,5_to_14,Angola,2021-04-08,H,0,H
3,5_to_14,Angola,2021-04-08,I,4,I
4,5_to_14,Angola,2021-04-08,H,0,H
5,5_to_14,Angola,2021-04-08,H,0,H
6,5_to_14,Angola,2021-04-08,S,1,S
7,5_to_14,Angola,2021-04-08,M,2,M
8,5_to_14,Angola,2021-04-08,H,0,H
0,15_to_24,Angola,2021-04-08,I,4,I
1,15_to_24,Angola,2021-04-08,I,1,I
2,15_to_24,Angola,2021-04-08,S,1,S
3,15_to_24,Angola,2021-04-08,H,0,H
4,15_to_24,Angola,2021-04-08,I,4,I
5,15_to_24,Angola,2021-04-08,S,2,S
0,25_to_64,Angola,2021-04-08,M,0,I
1,25_to_64,Angola,2021-04-08,S,2,S
2,25_to_64,Angola,2021-04-08,M,1,M
3,25_to_64,Angola,2021-04-08,I,4,I
4,25_to_64,Angola,2021-04-08,S,2,S
5,25_to_64,Angola,2021-04-08,H,0,H
6,25_to_64,Angola,2021-04-08,I,4,I
7,25_to_64,Angola,2021-04-08,M,2,M
8,25_to_64,Angola,2021-04-08,M,1,M
9,25_to_64,Angola,2021-04-08,M,1,M
0,less_5,Angola,2021-04-09,H,0,H
1,less_5,Angola,2021-04-09,I,2,I
2,less_5,Angola,2021-04-09,H,0,H
3,less_5,Angola,2021-04-09,H,0,H
4,less_5,Angola,2021-04-09,H,0,H
0,5_to_14,Angola,2021-04-09,I,3,I
1,5_to_14,Angola,2021-04-09,H,0,H
2,5_to_14,Angola,2021-04-09,H,0,H
3,5_to_14,Angola,2021-04-09,S,0,I
4,5_to_14,Angola,2021-04-09,H,0,H
5,5_to_14,Angola,2021-04-09,H,0,H
6,5_to_14,Angola,2021-04-09,S,2,S
7,5_to_14,Angola,2021-04-09,M,3,M
8,5_to_14,Angola,2021-04-09,H,0,H
0,15_to_24,Angola,2021-04-09,S,0,I
1,15_to_24,Angola,2021-04-09,I,2,I
2,15_to_24,Angola,2021-04-09,S,2,S
3,15_to_24,Angola,2021-04-09,H,0,H
4,15_to_24,Angola,2021-04-09,M,0,I
5,15_to_24,Angola,2021-04-09,S,3,S
0,25_to_64,Angola,2021-04-09,M,1,M
1,25_to_64,Angola,2021-04-09,S,3,S
2,25_to_64,Angola,2021-04-09,M,2,M
3,25_to_64,Angola,2021-04-09,M,0,I
4,25_to_64,Angola,2021-04-09,S,3,S
5,25_to_64,Angola,2021-04-09,H,0,H
6,25_to_64,Angola,2021-04-09,S,0,I
7,25_to_64,Angola,2021-04-09,M,3,M
8,25_to_64,Angola,2021-04-09,M,2,M
9,25_to_64,Angola,2021-04-09,M,2,M
0,less_5,Angola,2021-04-10,H,0,H
1,less_5,Angola,2021-04-10,I,3,I
2,less_5,Angola,2021-04-10,H,0,H
3,less_5,Angola,2021-04-10,H,0,H
4,less_5,Angola,2021-04-10,H,0,H
0,5_to_14,Angola,2021-04-10,I,4,I
1,5_to_14,Angola,2021-04-10,I,0,H
2,5_to_14,Angola,2021-04-10,H,0,H
3,5_to_14,Angola,2021-04-10,S,1,S
4,5_to_14,Angola,2021-04-10,H,0,H
5,5_to_14,Angola,2021-04-10,I,0,H
6,5_to_14,Angola,2021-04-10,S,3,S
7,5_to_14,Angola,2021-04-10,M,4,M
8,5_to_14,Angola,2021-04-10,H,0,H
0,15_to_24,Angola,2021-04-10,S,1,S
1,15_to_24,Angola,2021-04-10,I,3,I
2,15_to_24,Angola,2021-04-10,S,3,S
3,15_to_24,Angola,2021-04-10,I,0,H
4,15_to_24,Angola,2021-04-10,M,1,M
5,15_to_24,Angola,2021-04-10,S,4,S
0,25_to_64,Angola,2021-04-10,M,2,M
1,25_to_64,Angola,2021-04-10,S,4,S
2,25_to_64,Angola,2021-04-10,M,3,M
3,25_to_64,Angola,2021-04-10,M,1,M
4,25_to_64,Angola,2021-04-10,S,4,S
5,25_to_64,Angola,2021-04-10,I,0,H
6,25_to_64,Angola,2021-04-10,S,1,S
7,25_to_64,Angola,2021-04-10,M,4,M
8,25_to_64,Angola,2021-04-10,M,3,M
9,25_to_64,Angola,2021-04-10,M,3,M
0,less_5,Angola,2021-04-11,H,0,H
1,less_5,Angola,2021-04-11,I,4,I
2,less_5,Angola,2021-04-11,H,0,H
3,less_5,Angola,2021-04-11,H,0,H
4,less_5,Angola,2021-04-11,H,0,H
0,5_to_14,Angola,2021-04-11,S,0,I
1,5_to_14,Angola,2021-04-11,I,1,I
2,5_to_14,Angola,2021-04-11,H,0,H
3,5_to_14,Angola,2021-04-11,S,2,S
4,5_to_14,Angola,2021-04-11,H,0,H
5,5_to_14,Angola,2021-04-11,I,1,I
6,5_to_14,Angola,2021-04-11,S,4,S
7,5_to_14,Angola,2021-04-11,M,5,M
8,5_to_14,Angola,2021-04-11,H,0,H
0,15_to_24,Angola,2021-04-11,S,2,S
1,15_to_24,Angola,2021-04-11,I,4,I
2,15_to_24,Angola,2021-04-11,S,4,S
3,15_to_24,Angola,2021-04-11,I,1,I
4,15_to_24,Angola,2021-04-11,M,2,M
5,15_to_24,Angola,2021-04-11,S,5,S
0,25_to_64,Angola,2021-04-11,M,3,M
1,25_to_64,Angola,2021-04-11,S,5,S
2,25_to_64,Angola,2021-04-11,M,4,M
3,25_to_64,Angola,2021-04-11,M,2,M
4,25_to_64,Angola,2021-04-11,S,5,S
5,25_to_64,Angola,2021-04-11,I,1,I
6,25_to_64,Angola,2021-04-11,S,2,S
7,25_to_64,Angola,2021-04-11,M,5,M
8,25_to_64,Angola,2021-04-11,M,4,M
9,25_to_64,Angola,2021-04-11,M,4,M
0,less_5,Angola,2021-04-12,H,0,H
1,less_5,Angola,2021-04-12,S,0,I
2,less_5,Angola,2021-04-12,H,0,H
3,less_5,Angola,2021-04-12,H,0,H
4,less_5,Angola,2021-04-12,H,0,H
0,5_to_14,Angola,2021-04-12,S,1,S
1,5_to_14,Angola,2021-04-12,I,2,I
2,5_to_14,Angola,2021-04-12,H,0,H
3,5_to_14,Angola,2021-04-12,S,3,S
4,5_to_14,Angola,2021-04-12,I,0,H
5,5_to_14,Angola,2021-04-12,I,2,I
6,5_to_14,Angola,2021-04-12,S,5,S
7,5_to_14,Angola,2021-04-12,M,6,M
8,5_to_14,Angola,2021-04-12,H,0,H
0,15_to_24,Angola,2021-04-12,S,3,S
1,15_to_24,Angola,2021-04-12,S,0,I
2,15_to_24,Angola,2021-04-12,S,5,S
3,15_to_24,Angola,2021-04-12,I,2,I
4,15_to_24,Angola,2021-04-12,M,3,M
5,15_to_24,Angola,2021-04-12,S,6,S
0,25_to_64,Angola,2021-04-12,M,4,M
1,25_to_64,Angola,2021-04-12,S,6,S
2,25_to_64,Angola,2021-04-12,M,5,M
3,25_to_64,Angola,2021-04-12,M,3,M
4,25_to_64,Angola,2021-04-12,S,6,S
5,25_to_64,Angola,2021-04-12,I,2,I
6,25_to_64,Angola,2021-04-12,S,3,S
7,25_to_64,Angola,2021-04-12,M,6,M
8,25_to_64,Angola,2021-04-12,M,5,M
9,25_to_64,Angola,2021-04-12,M,5,M
0,less_5,Angola,2021-04-13,H,0,H
1,less_5,Angola,2021-04-13,S,1,S
2,less_5,Angola,2021-04-13,H,0,H
3,less_5,Angola,2021-04-13,H,0,H
4,less_5,Angola,2021-04-13,H,0,H
0,5_to_14,Angola,2021-04-13,S,2,S
1,5_to_14,Angola,2021-04-13,I,3,I
2,5_to_14,Angola,2021-04-13,H,0,H
3,5_to_14,Angola,2021-04-13,S,4,S
4,5_to_14,Angola,2021-04-13,I,1,I
5,5_to_14,Angola,2021-04-13,I,3,I
6,5_to_14,Angola,2021-04-13,S,6,S
7,5_to_14,Angola,2021-04-13,M,7,M
8,5_to_14,Angola,2021-04-13,H,0,H
0,15_to_24,Angola,2021-04-13,S,4,S
1,15_to_24,Angola,2021-04-13,S,1,S
2,15_to_24,Angola,2021-04-13,S,6,S
3,15_to_24,Angola,2021-04-13,I,3,I
4,15_to_24,Angola,2021-04-13,M,4,M
5,15_to_24,Angola,2021-04-13,S,7,S
0,25_to_64,Angola,2021-04-13,M,5,M
1,25_to_64,Angola,2021-04-13,S,7,S
2,25_to_64,Angola,2021-04-13,M,6,M
3,25_to_64,Angola,2021-04-13,M,4,M
4,25_to_64,Angola,2021-04-13,S,7,S
5,25_to_64,Angola,2021-04-13,I,3,I
6,25_to_64,Angola,2021-04-13,S,4,S
7,25_to_64,Angola,2021-04-13,M,7,M
8,25_to_64,Angola,2021-04-13,M,6,M
9,25_to_64,Angola,2021-04-13,M,6,M
0,less_5,Angola,2021-04-14,H,0,H
1,less_5,Angola,2021-04-14,S,2,S
2,less_5,Angola,2021-04-14,H,0,H
3,less_5,Angola,2021-04-14,H,0,H
4,less_5,Angola,2021-04-14,H,0,H
0,5_to_14,Angola,2021-04-14,S,3,S
1,5_to_14,Angola,2021-04-14,I,4,I
2,5_to_14,Angola,2021-04-14,H,0,H
3,5_to_14,Angola,2021-04-14,S,5,S
4,5_to_14,Angola,2021-04-14,I,2,I
5,5_to_14,Angola,2021-04-14,I,4,I
6,5_to_14,Angola,2021-04-14,S,7,S
7,5_to_14,Angola,2021-04-14,M,8,M
8,5_to_14,Angola,2021-04-14,H,0,H
0,15_to_24,Angola,2021-04-14,S,5,S
1,15_to_24,Angola,2021-04-14,S,2,S
2,15_to_24,Angola,2021-04-14,S,7,S
3,15_to_24,Angola,2021-04-14,I,4,I
4,15_to_24,Angola,2021-04-14,M,5,M
5,15_to_24,Angola,2021-04-14,S,8,S
0,25_to_64,Angola,2021-04-14,M,6,M
1,25_to_64,Angola,2021-04-14,S,8,S
2,25_to_64,Angola,2021-04-14,M,7,M
3,25_to_64,Angola,2021-04-14,M,5,M
4,25_to_64,Angola,2021-04-14,S,8,S
5,25_to_64,Angola,2021-04-14,I,4,I
6,25_to_64,Angola,2021-04-14,S,5,S
7,25_to_64,Angola,2021-04-14,M,8,M
8,25_to_64,Angola,2021-04-14,M,7,M
9,25_to_64,Angola,2021-04-14,M,7,M
0,less_5,Angola,2021-04-15,H,0,H
1,less_5,Angola,2021-04-15,S,3,S
2,less_5,Angola,2021-04-15,H,0,H
3,less_5,Angola,2021-04-15,H,0,H
4,less_5,Angola,2021-04-15,H,0,H
0,5_to_14,Angola,2021-04-15,S,4,S
1,5_to_14,Angola,2021-04-15,S,0,I
2,5_to_14,Angola,2021-04-15,H,0,H
3,5_to_14,Angola,2021-04-15,S,6,S
4,5_to_14,Angola,2021-04-15,I,3,I
5,5_to_14,Angola,2021-04-15,S,0,I
6,5_to_14,Angola,2021-04-15,S,8,S
7,5_to_14,Angola,2021-04-15,M,9,M
8,5_to_14,Angola,2021-04-15,H,0,H
0,15_to_24,Angola,2021-04-15,S,6,S
1,15_to_24,Angola,2021-04-15,S,3,S
2,15_to_24,Angola,2021-04-15,S,8,S
3,15_to_24,Angola,2021-04-15,M,0,I
4,15_to_24,Angola,2021-04-15,M,6,M
5,15_to_24,Angola,2021-04-15,S,9,S
0,25_to_64,Angola,2021-04-15,M,7,M
1,25_to_64,Angola,2021-04-15,S,9,S
2,25_to_64,Angola,2021-04-15,M,8,M
3,25_to_64,Angola,2021-04-15,M,6,M
4,25_to_64,Angola,2021-04-15,S,9,S
5,25_to_64,Angola,2021-04-15,S,0,I
6,25_to_64,Angola,2021-04-15,S,6,S
7,25_to_64,Angola,2021-04-15,M,9,M
8,25_to_64,Angola,2021-04-15,M,8,M
9,25_to_64,Angola,2021-04-15,M,8,M
0,less_5,Angola,2021-04-16,H,0,H
1,less_5,Angola,2021-04-16,S,4,S
2,less_5,Angola,2021-04-16,H,0,H
3,less_5,Angola,2021-04-16,H,0,H
4,less_5,Angola,2021-04-16,H,0,H
0,5_to_14,Angola,2021-04-16,S,5,S
1,5_to_14,Angola,2021-04-16,S,1,S
2,5_to_14,Angola,2021-04-16,I,0,H
3,5_to_14,Angola,2021-04-16,S,7,S
4,5_to_14,Angola,2021-04-16,I,4,I
5,5_to_14,Angola,2021-04-16,S,1,S
6,5_to_14,Angola,2021-04-16,S,9,S
7,5_to_14,Angola,2021-04-16,M,10,M
8,5_to_14,Angola,2021-04-16,H,0,H
0,15_to_24,Angola,2021-04-16,S,7,S
1,15_to_24,Angola,2021-04-16,S,4,S
2,15_to_24,Angola,2021-04-16,S,9,S
3,15_to_24,Angola,2021-04-16,M,1,M
4,15_to_24,Angola,2021-04-16,M,7,M
5,15_to_24,Angola,2021-04-16,S,10,S
0,25_to_64,Angola,2021-04-16,M,8,M
1,25_to_64,Angola,2021-04-16,S,10,S
2,25_to_64,Angola,2021-04-16,M,9,M
3,25_to_64,Angola,2021-04-16,M,7,M
4,25_to_64,Angola,2021-04-16,S,10,S
5,25_to_64,Angola,2021-04-16,S,1,S
6,25_to_64,Angola,2021-04-16,S,7,S
7,25_to_64,Angola,2021-04-16,M,10,M
8,25_to_64,Angola,2021-04-16,M,9,M
9,25_to_64,Angola,2021-04-16,M,9,M
0,less_5,Angola,2021-04-17,H,0,H
1,less_5,Angola,2021-04-17,S,5,S
2,less_5,Angola,2021-04-17,H,0,H
3,less_5,Angola,2021-04-17,H,0,H
4,less_5,Angola,2021-04-17,H,0,H
0,5_to_14,Angola,2021-04-17,S,6,S
1,5_to_14,Angola,2021-04-17,S,2,S
2,5_to_14,Angola,2021-04-17,I,1,I
3,5_to_14,Angola,2021-04-17,S,8,S
4,5_to_14,Angola,2021-04-17,M,0,I
5,5_to_14,Angola,2021-04-17,S,2,S
6,5_to_14,Angola,2021-04-17,S,10,S
7,5_to_14,Angola,2021-04-17,M,11,M
8,5_to_14,Angola,2021-04-17,H,0,H
0,15_to_24,Angola,2021-04-17,S,8,S
1,15_to_24,Angola,2021-04-17,S,5,S
2,15_to_24,Angola,2021-04-17,S,10,S
3,15_to_24,Angola,2021-04-17,M,2,M
4,15_to_24,Angola,2021-04-17,M,8,M
5,15_to_24,Angola,2021-04-17,S,11,S
0,25_to_64,Angola,2021-04-17,M,9,M
1,25_to_64,Angola,2021-04-17,S,11,S
2,25_to_64,Angola,2021-04-17,M,10,M
3,25_to_64,Angola,2021-04-17,M,8,M
4,25_to_64,Angola,2021-04-17,S,11,S
5,25_to_64,Angola,2021-04-17,S,2,S
6,25_to_64,Angola,2021-04-17,S,8,S
7,25_to_64,Angola,2021-04-17,M,11,M
8,25_to_64,Angola,2021-04-17,M,10,M
9,25_to_64,Angola,2021-04-17,M,10,M
0,less_5,Angola,2021-04-18,H,0,H
1,less_5,Angola,2021-04-18,S,6,S
2,less_5,Angola,2021-04-18,H,0,H
3,less_5,Angola,2021-04-18,H,0,H
4,less_5,Angola,2021-04-18,H,0,H
0,5_to_14,Angola,2021-04-18,S,7,S
1,5_to_14,Angola,2021-04-18,S,3,S
2,5_to_14,Angola,2021-04-18,I,2,I
3,5_to_14,Angola,2021-04-18,S,9,S
4,5_to_14,Angola,2021-04-18,M,1,M
5,5_to_14,Angola,2021-04-18,S,3,S
6,5_to_14,Angola,2021-04-18,S,11,S
7,5_to_14,Angola,2021-04-18,M,12,M
8,5_to_14,Angola,2021-04-18,H,0,H
0,15_to_24,Angola,2021-04-18,S,9,S
1,15_to_24,Angola,2021-04-18,S,6,S
2,15_to_24,Angola,2021-04-18,S,11,S
3,15_to_24,Angola,2021-04-18,M,3,M
4,15_to_24,Angola,2021-04-18,M,9,M
5,15_to_24,Angola,2021-04-18,S,12,S
0,25_to_64,Angola,2021-04-18,M,10,M
1,25_to_64,Angola,2021-04-18,S,12,S
2,25_to_64,Angola,2021-04-18,M,11,M
3,25_to_64,Angola,2021-04-18,M,9,M
4,25_to_64,Angola,2021-04-18,S,12,S
5,25_to_64,Angola,2021-04-18,S,3,S
6,25_to_64,Angola,2021-04-18,S,9,S
7,25_to_64,Angola,2021-04-18,M,12,M
8,25_to_64,Angola,2021-04-18,M,11,M
9,25_to_64,Angola,2021-04-18,M,11,M
0,less_5,Angola,2021-04-19,H,0,H
1,less_5,Angola,2021-04-19,S,7,S
2,less_5,Angola,2021-04-19,I,0,H
3,less_5,Angola,2021-04-19,H,0,H
4,less_5,Angola,2021-04-19,H,0,H
0,5_to_14,Angola,2021-04-19,S,8,S
1,5_to_14,Angola,2021-04-19,S,4,S
2,5_to_14,Angola,2021-04-19,I,3,I
3,5_to_14,Angola,2021-04-19,S,10,S
4,5_to_14,Angola,2021-04-19,M,2,M
5,5_to_14,Angola,2021-04-19,S,4,S
6,5_to_14,Angola,2021-04-19,S,12,S
7,5_to_14,Angola,2021-04-19,M,13,M
8,5_to_14,Angola,2021-04-19,H,0,H
0,15_to_24,Angola,2021-04-19,S,10,S
1,15_to_24,Angola,2021-04-19,S,7,S
2,15_to_24,Angola,2021-04-19,S,12,S
3,15_to_24,Angola,2021-04-19,M,4,M
4,15_to_24,Angola,2021-04-19,M,10,M
5,15_to_24,Angola,2021-04-19,S,13,S
0,25_to_64,Angola,2021-04-19,M,11,M
1,25_to_64,Angola,2021-04-19,S,13,S
2,25_to_64,Angola,2021-04-19,M,12,M
3,25_to_64,Angola,2021-04-19,M,10,M
4,25_to_64,Angola,2021-04-19,S,13,S
